COD_LINEA_NEGOCIO;COD_PRODUCTO;DESC_PRODUCTO;COD_CURRICULO;DESC_CURRICULO;COD_CURSO;DESC_CURSO;DESC_ABRE_CURSO;clave;COD_DIRECCION;NOM_DIRECCION;COD_CURSO_ELEC;CICLO;CANT_CREDITOS;CANT_CREDEQUIV;FECHA_CREACION;USUARIO_CREACION;FECHA_MODIFICACION;USUARIO_MODIFICACION;TOTAL CRED;201901-41;201902-41;201902-43;202001-44;202001-45;202002-44;202002-45;Total de Habiles;201901-41;201902-41;201902-43;202001-44;202001-45;202002-44;202002-45;Total de matriculados;201901-41;201902-41;201902-43;202001-44;202001-45;Total Aprueban;201901-41;201902-41;201902-43;202001-44;202001-45;Total Desaprueban;201901-41;201902-41;201902-43;202001-44;202001-45;Total retiros;201901-41;201902-41;201902-43;202001-44;202001-45;Total promedio de nota
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU04;COMPRENSIÓN Y PRODUCCIÓN DE LENGUAJE II;COMP Y PROD LENG II;42HU04;HU;HUMANIDADES;OBLIGATORIO;02;4;0;2/05/2016;EDALVARE;14/08/2019;FPORRAS;4;429;622;17;0;0;0;0;1068;345;537;3;0;0;0;0;885;290;470;3;0;0;763;55;67;0;0;0;122;17;24;0;0;0;41;15.14329268;15.56530214;15.33333333;;;15.34730939
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN170;DIBUJO DE INGENIERÍA 1;DIBUJO DE INGENIERÍA 1;42IN170;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;02;3;0;2/05/2016;EDALVARE;10/05/2017;JAGUILAR;3;592;755;0;387;1;194;0;1929;478;608;0;306;1;121;0;1514;274;423;0;215;1;913;204;185;0;91;0;480;47;76;0;38;0;161;12.69837587;13.89849624;;13.53731343;18;14.53354639
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA262;CÁLCULO I;CÁLCULO I;42MA262;MA;CIENCIAS;OBLIGATORIO;02;6;0;2/05/2016;EDALVARE;7/06/2018;MVALLE;6;564;719;6;328;241;105;436;2399;477;604;1;259;234;57;363;1995;257;406;0;213;227;1103;220;198;1;46;7;472;42;46;1;19;5;113;12.09195402;13.69658887;;15.2375;17.82532751;14.7128426
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA465;QUÍMICA;QUÍMICA;42MA465;MA;CIENCIAS;OBLIGATORIO;02;4;0;2/05/2016;EDALVARE;7/02/2020;JVALERA;4;1149;836;328;302;482;133;577;3807;419;605;282;179;437;64;442;2428;295;409;227;100;305;1336;124;196;55;79;132;586;30;65;19;32;52;198;14.01542416;14.07592593;15.74904943;12.50340136;14.46493506;14.16174719
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU159;SEMINARIO DE INVESTIGACIÓN ACADÉMICA I;SEMINA DE INVEST ACADEM I;42HU159;HU;HUMANIDADES;OBLIGATORIO;02;2;0;2/05/2016;EDALVARE;12/05/2020;JAGUILAR;2;507;674;22;263;269;97;451;2283;363;536;2;169;242;52;371;1735;293;443;1;135;233;1105;70;93;1;34;9;207;27;37;1;20;6;91;14.92559524;15.1743487;17;15.63087248;17.49152542;16.04446837
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA466;FÍSICA I;FÍSICA I;42MA466;MA;CIENCIAS;OBLIGATORIO;03;4;0;2/05/2016;EDALVARE;28/02/2017;MVALLE;4;502;363;4;534;9;306;257;1975;451;305;0;473;2;189;229;1649;392;237;0;420;2;1051;59;68;0;53;0;180;14;10;0;32;0;56;15.25858124;14.21355932;;16.61451247;19.5;16.39666326
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU187;TEMAS DE HISTORIA DEL PERÚ;TEMAS HISTORIA DEL PERÚ;42HU187;HU;HUMANIDADES;ELECTIVO;03;3;0;2/05/2016;EDALVARE;;;3;3197;2935;5;2356;18;2001;289;10801;401;346;1;245;1;130;29;1153;236;198;1;208;1;644;165;148;0;37;0;350;70;79;0;24;0;173;12.94864048;13.21348315;19;16.32579186;14;15.0975831
U;03310004;INGENIERÍA INDUSTRIAL;41;201502 - LU;IN220;ALGORITMOS;ALGORITMOS;41IN220;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;04;3;0;21/05/2015;LLEAU;4/06/2015;CLAVENDA;3;971;936;390;0;0;0;0;2297;570;632;2;0;0;0;0;1204;267;349;1;0;0;617;303;283;1;0;0;587;148;145;0;0;0;293;12.68009479;13.11088296;13.5;;;13.09699258
U;03310004;INGENIERÍA INDUSTRIAL;41;201502 - LU;MA466;FÍSICA I;FÍSICA I;41MA466;MA;CIENCIAS;OBLIGATORIO;03;4;0;31/05/2015;EORDOYA;;;4;502;363;4;534;9;306;257;1975;451;305;0;473;2;189;229;1649;392;237;0;420;2;1051;59;68;0;53;0;180;14;10;0;32;0;56;15.25858124;14.21355932;;16.61451247;19.5;16.39666326
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU51;ANÁLISIS AMBIENTAL;ANÁLISIS AMBIENTAL;42HU51;HU;HUMANIDADES;ELECTIVO;03;3;0;2/05/2016;EDALVARE;;;3;2930;2567;5;2017;19;1690;289;9517;313;285;0;237;0;199;36;1070;255;241;0;210;0;706;58;44;0;27;0;129;25;20;0;21;0;66;15.01736111;15.38113208;;16.86574074;;15.75474464
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA263;CÁLCULO II;CÁLCULO II;42MA263;MA;CIENCIAS;OBLIGATORIO;03;6;0;2/05/2016;EDALVARE;8/05/2017;JAGUILAR;6;760;600;5;624;14;311;262;2576;638;501;0;547;11;214;240;2151;408;358;0;505;9;1280;230;143;0;42;2;417;39;41;0;32;1;113;13.09348915;13.77391304;;17.72815534;16.5;15.27388938
