;COD_LINEA_NEGOCIO;COD_PRODUCTO;DESC_PRODUCTO;COD_CURRICULO;DESC_CURRICULO;COD_CURSO;DESC_CURSO;DESC_ABRE_CURSO;clave;COD_DIRECCION;NOM_DIRECCION;COD_CURSO_ELEC;CICLO;CANT_CREDITOS;CANT_CREDEQUIV;FECHA_CREACION;USUARIO_CREACION;FECHA_MODIFICACION;USUARIO_MODIFICACION;TOTAL CRED;REQUISITO;REQUISITO PYTHON;Ruta Critica
475;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU473;ENVIRONMENTAL SCIENCE;ENVIRONMENTAL SCIENCE;43HU473;HU;HUMANIDADES;ELECTIVO;6;2;0;2019-06-05 07:49:08;JAGUILAR;;;2;;;0.0
476;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU522;LA INEVITABLE GLOBALIZACIÓN;LA INEVITABLE GLOBALIZACI;43HU522;HU;HUMANIDADES;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
477;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU469;DEPORTE Y POLÍTICA;DEPORTE Y POLÍTICA;43HU469;HU;HUMANIDADES;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
478;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;DE440;AMERICAN GOVERNMENT;AMERICAN GOVERNMENT;43DE440;DE;DERECHO;ELECTIVO;6;2;0;2019-06-05 07:49:08;JAGUILAR;;;2;;;0.0
479;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN319;INGENIERÍA DE PROCESOS;INGENIERÍA DE PROCESOS;43IN319;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;5;4;0;2019-06-05 10:14:18;JAGUILAR;;;4;;;0.0
480;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN321;CALIDAD;CALIDAD;43IN321;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;6;5;0;2019-06-05 10:14:18;JAGUILAR;;;5;;;0.0
481;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN213;SIMULACIÓN DE SISTEMAS DISCRETOS;SIMULACIÓN DE SISTEMAS DI;43IN213;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;7;4;0;2019-06-05 07:49:08;JAGUILAR;2019-06-05 11:47:13;JAGUILAR;4;;;0.0
482;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN326;TALLER DE INTEGRACIÓN PROFESIONAL;TALLER DE INTEGRACIÓN PRO;43IN326;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;8;5;0;2019-06-05 10:14:18;JAGUILAR;;;5;;;0.0
483;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN322;PLANEAMIENTO Y CONTROL DE OPERACIONES;PLANEAMIENTO Y CONTROL D;43IN322;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;6;5;0;2019-06-05 10:14:18;JAGUILAR;;;5;;;0.0
484;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AM130;ADVERTISING MANAGEMENT;ADVERTISING MANAGEMENT;43AM130;AM;ADMINISTRACION Y MARKETING;ELECTIVO;7;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
