COD_ALUMNO;201901;201902;202001;202002;cuantos ciclos tiene el alumno;curricula ;nivel alumno;201901;201902;202001;202002;18;23;27;MAX_CREDITAJE;NUM_TURNO;POND_ACTUAL;POND_ACUMULADO;NUM_OBS_CONS;NUM_OBS_ALTE;TIPO_MERITO;m_habil_COD_CURSO;201901;201902;202001;202002;201901;201902;202001;202002;COD_ESTADO_MAT_CUR;NUM_VEZ_CURSO;Extra_acad;NO;SI;promadio de aprobacion de cursos de manera historica;ADMINISTRACION;ADMINISTRACION Y MARKETING;ADMINISTRACION Y RECURSOS HUMANOS;CIENCIAS;ECONOMIA Y NEGOCIOS INTERNACIONALES;HUMANIDADES;INGENIERIA INDUSTRIAL;INICIATIVA EMPRESARIAL;TRADUCCION E INTERPRETACION PROFESIONAL;#N/D;m_habil_DES_TIPO_INGRESO;SEXO;Edad;201901;201902;202001;202002;0;1;RIESGO
201710968;7;6;7;;3;44;2;27;23;18;0;1;1;1;2;98;12.14;13.48;1;1;0;7;7;6;7;0;4;4;0;0;40%;;0;4;4;50%;0%;0%;0%;50%;0%;100%;0%;0%;0%;0%;EVALUACION INTEGRAL;0;21;0;0;1;0;3;1;0
201817872;10;7;11;17;4;44;6;23;27;27;27;0;1;3;4.5;73;15.65;15.46;0;0;5;17;10;7;11;17;6;5;5;0;36%;;0;0;16;100%;0%;0%;0%;100%;0%;100%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;1;19;0;0;0;0;4;0;0
201716554;8;7;10;10;4;44;4;23;18;23;23;1;3;0;3.5;100;14.4;13.52;1;1;0;10;8;7;10;10;4;4;5;6;54%;;0;2;11;58%;0%;0%;0%;83%;0%;0%;86%;0%;0%;0%;SELECCIÓN PREFERENTE;1;22;0;0;0;0;4;0;0
201818989;6;7;6;9;4;44;4;18;27;23;27;1;1;2;4.5;46;16.67;14.41;0;1;3;9;6;7;6;9;4;6;4;5;68%;;0;3;11;58%;0%;0%;0%;86%;100%;100%;60%;0%;0%;0%;SELECCIÓN PREFERENTE;0;20;0;0;0;0;4;0;0
201823932;9;9;9;15;4;44;5;23;27;27;27;0;1;3;4.5;50;16.5;15.84;0;0;3;15;9;9;9;15;6;6;5;6;55%;;0;5;12;52%;0%;0%;0%;80%;100%;100%;60%;0%;0%;0%;EVALUACION INTEGRAL;0;26;0;0;0;0;4;0;0
201818504;8;9;13;13;4;44;6;23;27;27;27;0;1;3;4.5;50;16.52;15.4;0;0;3;13;8;9;13;13;4;5;6;6;49%;;0;0;15;71%;0%;0%;0%;100%;0%;0%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;1;20;0;0;0;0;4;0;0
201417586;12;14;13;41;4;45;4;23;27;18;18;2;1;1;2;98;12.19;14.01;1;1;0;41;12;14;13;41;6;7;0;0;16%;;1|;4;8;62%;0%;0%;0%;100%;0%;0%;70%;0%;0%;0%;ADP REGULAR;1;25;0;0;0;0;4;0;0
201710451;13;12;12;17;4;44;6;23;23;23;23;0;4;0;4;103;14.11;13.84;0;0;0;17;13;12;12;17;4;6;5;5;37%;;0;3;12;60%;0%;0%;0%;100%;100%;0%;73%;0%;0%;0%;SELECCIÓN PREFERENTE;1;21;0;0;0;0;4;0;0
20171A197;7;1;;;2;41;2;18;18;0;0;2;0;0;1;111;8.31;10.84;5;5;0;1;7;1;0;0;4;0;0;0;50%;;0;3;1;25%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;EVALUACION INTEGRAL;1;21;1;1;0;0;2;2;0
201713423;8;7;;;2;41;2;18;18;0;0;2;0;0;1;104;12;12.1;5;5;0;7;8;7;0;0;4;4;0;0;53%;;0;4;4;50%;0%;0%;0%;25%;0%;100%;67%;0%;0%;0%;SELECCIÓN PREFERENTE;1;22;1;1;0;0;2;2;0
201721913;13;5;3;;3;44;2;18;18;18;0;3;0;0;1;77;8.62;10.63;3;3;0;3;13;5;3;0;3;0;0;0;14%;;0;2;1;33%;0%;0%;0%;50%;0%;0%;0%;0%;0%;0%;SELECCIÓN PREFERENTE;1;21;1;1;1;0;1;3;0
201814732;9;7;8;9;4;44;4;23;18;23;27;1;2;1;4.5;40;16.91;13.63;1;1;3;9;9;7;8;9;6;4;6;7;70%;;0;5;11;48%;0%;0%;0%;63%;0%;100%;80%;0%;0%;0%;SELECCIÓN PREFERENTE;1;20;0;0;0;0;4;0;0
201726099;6;6;6;8;4;44;3;23;23;18;27;1;2;1;4.5;72;15.69;13.04;1;1;0;8;6;6;6;8;4;3;4;6;65%;;0;4;7;41%;0%;0%;0%;67%;0%;100%;67%;0%;0%;0%;EVALUACION INTEGRAL;1;21;0;0;0;0;4;0;0
201821409;9;8;8;12;4;44;5;23;23;23;27;0;3;1;4.5;68;15.86;14.93;0;0;0;12;9;8;8;12;6;5;5;6;59%;;0;2;14;64%;0%;0%;0%;100%;0%;75%;75%;0%;0%;0%;EVALUACION INTEGRAL;1;19;0;0;0;0;4;0;0
20181C463;8;8;8;8;4;44;3;18;18;18;18;4;0;0;1;96;55;12.81;2;2;0;8;8;8;8;8;5;4;0;4;41%;;0;6;3;23%;0%;0%;0%;25%;0%;50%;33%;0%;0%;0%;EVALUACION INTEGRAL;0;24;0;0;0;0;4;0;0
201823592;9;8;7;12;4;44;5;27;27;27;27;0;0;4;5;44;16.77;16.25;0;0;3;12;9;8;7;12;5;5;5;6;58%;;0;0;15;71%;0%;0%;0%;100%;0%;100%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;0;19;0;0;0;0;4;0;0
201724607;7;9;10;10;4;44;5;27;23;27;18;1;1;2;3;115;12.38;13.97;1;1;0;10;7;9;10;10;5;6;6;4;58%;;1|;6;10;48%;0%;0%;0%;86%;0%;0%;44%;0%;0%;0%;SELECCIÓN PREFERENTE;0;20;0;0;0;0;4;0;0
201623531;5;;;;1;41;2;18;0;0;0;1;0;0;1;120;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0%;;0;#N/D;#N/D;0%;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;SELECCIÓN PREFERENTE;0;0;1;0;0;0;3;1;0
20181E958;8;9;13;13;4;44;4;27;27;27;27;0;0;4;5;53;55;16.14;0;0;5;13;8;9;13;13;5;5;6;7;53%;;0;7;9;39%;0%;0%;0%;100%;0%;0%;33%;0%;0%;0%;SELECCIÓN PREFERENTE;0;22;0;0;0;0;4;0;0
201718870;12;14;13;;3;44;5;23;23;18;0;1;2;0;2;99;12;13.51;1;1;0;13;12;14;13;0;6;6;0;0;31%;;1|;5;6;50%;0%;0%;0%;100%;0%;50%;33%;0%;0%;0%;EVALUACION INTEGRAL;0;23;0;0;0;0;4;0;0
20181D568;12;8;12;12;4;44;4;23;27;23;27;0;2;2;4.5;36;17.09;16.21;0;0;3;12;12;8;12;12;4;6;5;6;48%;;0;3;12;57%;0%;0%;0%;83%;0%;100%;86%;0%;0%;0%;EVALUACION INTEGRAL;0;23;0;0;0;0;4;0;0
201725896;6;8;8;8;4;44;3;18;23;18;23;2;2;0;3.5;99;14.41;12.01;1;2;0;8;6;8;8;8;3;4;4;5;53%;;0;4;7;44%;0%;0%;0%;57%;0%;100%;67%;0%;0%;0%;SELECCIÓN PREFERENTE;0;21;0;0;0;0;4;0;0
201810546;7;7;8;11;4;44;4;23;18;18;27;2;1;1;4.5;64;16;13.46;2;2;0;11;7;7;8;11;6;4;4;6;61%;;0;6;8;40%;0%;0%;0%;71%;0%;50%;50%;0%;0%;0%;SELECCIÓN PREFERENTE;0;19;0;0;0;0;4;0;0
201714545;8;8;9;7;4;44;3;18;18;18;27;3;0;1;4;87;15.07;12.72;5;5;0;7;8;8;9;7;5;4;5;6;63%;;0;8;6;30%;0%;0%;0%;50%;100%;25%;33%;0%;0%;0%;EVALUACION INTEGRAL;0;20;0;0;0;0;4;0;0
201810675;8;1;;;2;41;2;18;18;0;0;2;0;0;1;75;11.53;13.38;1;1;0;1;8;1;0;0;4;0;0;0;44%;;0;3;1;25%;0%;0%;0%;33%;0%;0%;0%;0%;0%;0%;SELECCIÓN PREFERENTE;0;20;1;1;0;0;2;2;0
20181F272;9;;;;1;41;2;27;0;0;0;0;0;1;5;23;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0%;;0;#N/D;#N/D;0%;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;SELECCIÓN PREFERENTE;0;0;0;0;0;0;4;0;0
201516356;11;10;10;;3;44;2;18;18;18;0;3;0;0;1;113;1.5;10.78;4;5;0;10;11;10;10;0;4;5;0;0;29%;;0;9;0;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;SELECCIÓN PREFERENTE;0;24;0;0;1;0;3;1;0
201719704;9;9;;;2;41;2;18;18;0;0;2;0;0;1;103;11.88;12.98;3;3;0;9;9;9;0;0;4;0;0;0;22%;;0;3;1;25%;0%;0%;0%;0%;0%;0%;50%;0%;0%;0%;SELECCIÓN PREFERENTE;0;23;0;1;0;0;3;1;0
201815977;10;8;12;85;4;44;6;27;27;27;27;0;0;4;5;57;16.22;16.37;0;0;5;85;10;8;12;85;6;6;6;8;23%;;0;1;17;65%;0%;0%;0%;100%;0%;67%;100%;0%;0%;0%;EVALUACION INTEGRAL;1;20;0;0;0;0;4;0;0
20181B835;7;5;7;7;4;44;3;23;18;23;23;1;3;0;3.5;101;55;12.63;1;2;0;7;7;5;7;7;4;4;5;0;50%;;0;10;3;23%;0%;0%;0%;20%;0%;100%;17%;0%;0%;0%;SELECCIÓN PREFERENTE;1;19;0;1;0;0;3;1;0
201818213;10;10;13;12;4;44;4;23;23;23;18;1;3;0;3;111;13.13;13.55;0;0;0;12;10;10;13;12;5;5;5;4;42%;;0;3;12;63%;0%;0%;0%;86%;100%;100%;60%;0%;0%;0%;SELECCIÓN PREFERENTE;1;20;0;0;0;1;3;1;1
201620793;6;5;8;11;4;44;4;18;18;23;27;2;1;1;4.5;39;16.96;12.88;2;2;3;11;6;5;8;11;4;3;6;6;63%;;0;4;9;47%;0%;0%;0%;83%;0%;0%;67%;0%;0%;0%;EVALUACION INTEGRAL;1;26;0;0;0;0;4;0;0
201619066;7;6;6;6;4;44;2;18;18;18;18;4;0;0;1;121;5.77;10.63;3;4;0;6;7;6;6;6;0;0;5;0;20%;;0;4;1;20%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;GENERAL;1;23;1;1;1;1;0;4;0
201513702;8;8;11;13;4;44;5;23;18;23;23;1;3;0;3.5;106;13.87;13.05;1;2;0;13;8;8;11;13;6;4;5;6;53%;;0;4;11;52%;0%;0%;0%;100%;0%;50%;60%;0%;0%;0%;GENERAL;1;23;0;0;0;0;4;0;0
